CountryID,Country
1,Algeria
2,Argentina
3,Australia
4,Austria
5,Belarus
6,Belgium
7,Bulgaria
8,Burma
9,Canada
10,Chile
11,China
12,Colombia
13,Costa Rica
14,Czechoslovakia
15,Denmark
16,East Timor
17,Egypt
18,Finland
19,France
20,Germany
21,Germany (now Poland)
22,Ghana
23,Great Britain
24,Greece
25,Guatemala
26,Hungary
27,Iceland
28,India
29,International
30,Iran
31,Ireland
32,Israel
33,Italy
34,Japan
35,Kenya
36,Kingdom
37,Korea
38,Liberia
39,Lithuania
40,Macedonia
41,Madagascar
42,Mexico
43,Nigeria
44,Norway
45,Pakistan
46,Peru
47,Poland
48,Portugal
49,Republic
50,Romania
51,Russia
52,Saint Lucia
53,Scotland
54,South Africa
55,Spain
56,Sweden
57,Switzerland
58,the Netherlands
59,Tibet
60,Trinidad
61,Turkey
62,Ukraine
63,United Kingdom
64,USA
65,USSR
66,Vietnam
67,Yemen
