ID,Firstname,Surname,Born,Gender,Year,CategoryID,Share,Motivation,Affiliation at time of award,City,CountryID
1,Wilhelm Conrad,R_ntgen,03/27/1845,1,1901,6,1,"""in recognition of the extraordinary services he has rendered by the discovery of the remarkable rays subsequently named after him""",Munich University,Munich,20
2,Hendrik Antoon,Lorentz,07/18/1853,1,1902,6,2,"""in recognition of the extraordinary service they rendered by their researches into the influence of magnetism upon radiation phenomena""",Leiden University,Leiden,58
3,Pieter,Zeeman,05/25/1865,1,1902,6,2,"""in recognition of the extraordinary service they rendered by their researches into the influence of magnetism upon radiation phenomena""",Amsterdam University,Amsterdam,58
4,Antoine Henri,Becquerel,12/15/1852,1,1903,6,2,"""in recognition of the extraordinary services he has rendered by his discovery of spontaneous radioactivity""",€cole Polytechnique,Paris,19
5,Pierre,Curie,05/15/1859,1,1903,6,4,"""in recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by Professor Henri Becquerel""",€cole municipale de physique et de chimie industrielles (Municipal School of Industrial Physics and Chemistry),Paris,19
6,Marie,"Curie, n_e Sklodowska",11/07/1867,0,1911,1,1,"""in recognition of her services to the advancement of chemistry by the discovery of the elements radium and polonium, by the isolation of radium and the study of the nature and compounds of this remarkable element""",Sorbonne University,Paris,19
7,Marie,"Curie, n_e Sklodowska",11/07/1867,0,1903,6,4,"""in recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by Professor Henri Becquerel""",,,19
8,Lord Rayleigh,(John William Strutt),11/12/1842,1,1904,6,1,"""for his investigations of the densities of the most important gases and for his discovery of argon in connection with these studies""",Royal Institution of Great Britain,London,63
9,Philipp Eduard Anton,von Lenard,06/07/1862,1,1905,6,1,"""for his work on cathode rays""",Kiel University,Kiel,20
10,Joseph John,Thomson,12/18/1856,1,1906,6,1,"""in recognition of the great merits of his theoretical and experimental investigations on the conduction of electricity by gases""",University of Cambridge,Cambridge,63
11,Albert Abraham,Michelson,12/19/1852,1,1907,6,1,"""for his optical precision instruments and the spectroscopic and metrological investigations carried out with their aid""",University of Chicago,"Chicago, IL",64
12,Gabriel,Lippmann,08/16/1845,1,1908,6,1,"""for his method of reproducing colours photographically based on the phenomenon of interference""",Sorbonne University,Paris,19
13,Guglielmo,Marconi,04/25/1874,1,1909,6,2,"""in recognition of their contributions to the development of wireless telegraphy""",Marconi Wireless Telegraph Co. Ltd.,London,63
14,Karl Ferdinand,Braun,06/06/1850,1,1909,6,2,"""in recognition of their contributions to the development of wireless telegraphy""",Strasbourg University,Strasbourg,19
15,Johannes Diderik,van der Waals,11/23/1837,1,1910,6,1,"""for his work on the equation of state for gases and liquids""",Amsterdam University,Amsterdam,58
16,Wilhelm,Wien,01/13/1864,1,1911,6,1,"""for his discoveries regarding the laws governing the radiation of heat""",Wôrzburg University,Wôrzburg,20
